Experiment;Normalized;Distance;K;Accuracy;F1ScoreExecution Time
features_10_20;0;euclidean;1;0.909;0.9095290672842825;0.47866392135620117
features_10_20;0;euclidean;3;0.904;0.9055032665573938;1.3031749725341797
features_10_20;0;euclidean;4;0.892;0.8938289460588288;2.1080031394958496
features_10_20;0;euclidean;5;0.904;0.9055724999103083;2.9340028762817383
features_10_20;0;euclidean;6;0.893;0.8954871394898123;3.738603115081787
features_10_20;0;euclidean;7;0.901;0.9028960470086973;4.587113857269287
features_10_20;0;euclidean;8;0.881;0.8834842692673432;5.4683449268341064
features_10_20;0;euclidean;9;0.889;0.8911926473257922;6.3434858322143555
features_10_20;0;euclidean;10;0.886;0.8888565095788499;7.225826025009155
features_10_20;0;euclidean;11;0.889;0.891602560013798;8.128139972686768
features_10_20;0;euclidean;12;0.881;0.8840509222459303;8.967427015304565
features_10_20;0;euclidean;13;0.877;0.8798514233716693;9.802939891815186
features_10_20;0;manhattan;1;0.909;0.9095290672842825;10.622751951217651
features_10_20;0;manhattan;3;0.904;0.9055032665573938;11.492187976837158
features_10_20;0;manhattan;4;0.892;0.8938289460588288;12.307849884033203
features_10_20;0;manhattan;5;0.904;0.9055724999103083;13.211244106292725
features_10_20;0;manhattan;6;0.893;0.8954871394898123;14.046987056732178
features_10_20;0;manhattan;7;0.901;0.9028960470086973;14.897158861160278
features_10_20;0;manhattan;8;0.881;0.8834842692673432;15.733185052871704
features_10_20;0;manhattan;9;0.889;0.8911926473257922;16.573293924331665
features_10_20;0;manhattan;10;0.886;0.8888565095788499;17.44105291366577
features_10_20;0;manhattan;11;0.889;0.891602560013798;18.291243076324463
features_10_20;0;manhattan;12;0.881;0.8840509222459303;19.120469093322754
features_10_20;0;manhattan;13;0.877;0.8798514233716693;19.937366008758545
features_10_20;1;euclidean;1;0.909;0.9095290672842825;20.813016891479492
features_10_20;1;euclidean;3;0.904;0.9055032665573938;21.66061282157898
features_10_20;1;euclidean;4;0.892;0.8938289460588288;22.524518966674805
features_10_20;1;euclidean;5;0.904;0.9055724999103083;23.41880488395691
features_10_20;1;euclidean;6;0.893;0.8954871394898123;24.242697954177856
features_10_20;1;euclidean;7;0.901;0.9028960470086973;25.09264898300171
features_10_20;1;euclidean;8;0.881;0.8834842692673432;25.951745986938477
features_10_20;1;euclidean;9;0.889;0.8911926473257922;26.78640389442444
features_10_20;1;euclidean;10;0.886;0.8888565095788499;27.646148920059204
features_10_20;1;euclidean;11;0.889;0.891602560013798;28.497843027114868
features_10_20;1;euclidean;12;0.881;0.8840509222459303;29.3455491065979
features_10_20;1;euclidean;13;0.877;0.8798514233716693;30.199512004852295
features_10_20;1;manhattan;1;0.909;0.9095290672842825;31.12505602836609
features_10_20;1;manhattan;3;0.904;0.9055032665573938;31.99269390106201
features_10_20;1;manhattan;4;0.892;0.8938289460588288;32.84942293167114
