Classifier;Start;Stop;Step;Chunk;F1Score;Accuracy;Execution Time (s)
knn;1000;21000;1000;1000;0.776;0.782;32.059
knn;1000;21000;1000;2000;0.859;0.859;51.892
knn;1000;21000;1000;3000;0.886;0.886;62.996
knn;1000;21000;1000;4000;0.89;0.89;82.93
knn;1000;21000;1000;5000;0.894;0.894;103.269
knn;1000;21000;1000;6000;0.917;0.917;124.439
knn;1000;21000;1000;7000;0.925;0.925;146.559
knn;1000;21000;1000;8000;0.93;0.929;157.567
knn;1000;21000;1000;9000;0.933;0.933;178.04
knn;1000;21000;1000;10000;0.935;0.935;198.619
knn;1000;21000;1000;11000;0.935;0.934;210.219
knn;1000;21000;1000;12000;0.936;0.936;225.239
knn;1000;21000;1000;13000;0.936;0.936;237.264
knn;1000;21000;1000;14000;0.936;0.936;253.58
knn;1000;21000;1000;15000;0.936;0.935;270.468
knn;1000;21000;1000;16000;0.937;0.937;251.132
knn;1000;21000;1000;17000;0.937;0.937;257.359
knn;1000;21000;1000;18000;0.938;0.937;268.223
knn;1000;21000;1000;19000;0.938;0.938;279.718
knn;1000;21000;1000;20000;0.939;0.939;292.836
naive_bayes;1000;21000;1000;1000;0.696;0.674;5.95
naive_bayes;1000;21000;1000;2000;0.788;0.782;5.896
naive_bayes;1000;21000;1000;3000;0.842;0.838;5.908
naive_bayes;1000;21000;1000;4000;0.848;0.845;6.036
naive_bayes;1000;21000;1000;5000;0.857;0.855;5.797
naive_bayes;1000;21000;1000;6000;0.87;0.869;5.857
naive_bayes;1000;21000;1000;7000;0.875;0.874;6.193
naive_bayes;1000;21000;1000;8000;0.884;0.882;6.075
naive_bayes;1000;21000;1000;9000;0.888;0.887;6.006
naive_bayes;1000;21000;1000;10000;0.89;0.889;6.241
naive_bayes;1000;21000;1000;11000;0.888;0.887;5.974
naive_bayes;1000;21000;1000;12000;0.887;0.886;5.905
naive_bayes;1000;21000;1000;13000;0.89;0.889;6.008
naive_bayes;1000;21000;1000;14000;0.887;0.885;6.107
naive_bayes;1000;21000;1000;15000;0.885;0.884;6.203
naive_bayes;1000;21000;1000;16000;0.887;0.886;6.225
naive_bayes;1000;21000;1000;17000;0.887;0.886;5.996
naive_bayes;1000;21000;1000;18000;0.889;0.888;6.012
naive_bayes;1000;21000;1000;19000;0.889;0.889;6.067
naive_bayes;1000;21000;1000;20000;0.89;0.889;6.036
lda;1000;21000;1000;1000;0.787;0.787;4.972
lda;1000;21000;1000;2000;0.873;0.873;5.231
lda;1000;21000;1000;3000;0.894;0.894;4.998
lda;1000;21000;1000;4000;0.886;0.885;5.025
lda;1000;21000;1000;5000;0.89;0.891;5.017
lda;1000;21000;1000;6000;0.903;0.903;5.132
lda;1000;21000;1000;7000;0.913;0.912;5.105
lda;1000;21000;1000;8000;0.921;0.921;5.091
lda;1000;21000;1000;9000;0.924;0.924;5.226
lda;1000;21000;1000;10000;0.928;0.928;5.03
lda;1000;21000;1000;11000;0.926;0.926;5.125
lda;1000;21000;1000;12000;0.925;0.925;5.08
lda;1000;21000;1000;13000;0.924;0.924;5.135
lda;1000;21000;1000;14000;0.922;0.922;5.225
lda;1000;21000;1000;15000;0.921;0.921;5.351
lda;1000;21000;1000;16000;0.921;0.921;5.325
lda;1000;21000;1000;17000;0.923;0.923;5.322
lda;1000;21000;1000;18000;0.925;0.925;5.333
lda;1000;21000;1000;19000;0.926;0.926;5.45
lda;1000;21000;1000;20000;0.928;0.928;5.403
logistic_regression;1000;21000;1000;1000;0.716;0.729;5.125
logistic_regression;1000;21000;1000;2000;0.776;0.782;5.238
logistic_regression;1000;21000;1000;3000;0.803;0.807;4.954
logistic_regression;1000;21000;1000;4000;0.81;0.814;5.281
logistic_regression;1000;21000;1000;5000;0.815;0.819;5.401
logistic_regression;1000;21000;1000;6000;0.84;0.842;5.516
logistic_regression;1000;21000;1000;7000;0.862;0.863;5.487
logistic_regression;1000;21000;1000;8000;0.881;0.881;5.555
logistic_regression;1000;21000;1000;9000;0.888;0.889;5.769
logistic_regression;1000;21000;1000;10000;0.896;0.896;5.82
