Classifier;Start;Stop;Step;Chunk;F1Score;Accuracy;Execution Time (s)
knn;1000;20000;1000;1000;0.7758143089513465;0.7819970671486547;32.22704315185547
knn;1000;20000;1000;2000;0.8594336747310832;0.8587456945060191;82.18448519706726
knn;1000;20000;1000;3000;0.8864759542691194;0.8856870033761893;144.40255737304688
knn;1000;20000;1000;4000;0.8902943114213799;0.8897111482454046;225.078999042511
knn;1000;20000;1000;5000;0.8943961499543409;0.8939228591890325;576.5988490581512
knn;1000;20000;1000;6000;0.9172569831400526;0.9168741261126079;697.9050800800323
knn;1000;20000;1000;7000;0.9251405954850204;0.9247860041605566;823.4640913009644
knn;1000;20000;1000;8000;0.9295692954851815;0.9292875899464584;966.0686042308807
knn;1000;20000;1000;9000;0.9329073406432673;0.9326296763632643;1123.2678241729736
knn;1000;20000;1000;10000;0.9351434473189578;0.9348463663335947;1300.1778831481934
knn;1000;20000;1000;11000;0.9347279996548289;0.9344371312621491;1486.3570342063904
knn;1000;20000;1000;12000;0.9357955605166401;0.9355113733246939;1686.8542170524597
knn;1000;20000;1000;13000;0.9360449732784897;0.9357841967056577;2203.04315328598
knn;1000;20000;1000;14000;0.9359531651327704;0.9356989393991065;2431.634161233902
knn;1000;20000;1000;15000;0.9355804463335065;0.9353408587115916;2674.2188880443573
knn;1000;20000;1000;16000;0.9372879315626613;0.9370630563039253;3652.960974216461
knn;1000;20000;1000;17000;0.937134332132269;0.9368925416908229;3887.832313299179
knn;1000;20000;1000;18000;0.9375636496665078;0.9373017767622686;4128.333022117615
knn;1000;20000;1000;19000;0.93848607951397;0.9382225556730212;4380.036418199539
knn;20000;21000;1000;20000;0.938799343160476;0.9385465334379156;260.4399402141571
